fraud_bool,income,name_email_similarity,prev_address_months_count,current_address_months_count,customer_age,days_since_request,intended_balcon_amount,payment_type,zip_count_4w,velocity_6h,velocity_24h,velocity_4w,bank_branch_count_8w,date_of_birth_distinct_emails_4w,employment_status,credit_risk_score,email_is_free,housing_status,phone_home_valid,phone_mobile_valid,bank_months_count,has_other_cards,proposed_credit_limit,foreign_request,source,session_length_in_minutes,device_os,keep_alive_session,device_distinct_emails_8w,device_fraud_count,month
0,0.8,0.1223696301274405,-1,20,30,0.023472004150741,-0.8816399994033612,AD,1655,4721.783888802728,3678.936076294419,6380.760673482324,26,15,CA,118,0,BC,0,0,30,0,200.0,0,INTERNET,7.836945285596486,windows,1,1,0,0
0,0.1,0.7674319367073007,-1,34,20,0.0213463384257696,-0.6698555056935508,AB,2491,6652.516397836012,6720.662514085203,5987.011108097575,692,22,CA,84,1,BE,0,1,30,0,200.0,0,INTERNET,4.199729019965292,other,0,2,0,0
1,0.9,0.5707999943864518,-1,157,60,0.0059079774857686,35.33753810950236,AA,4079,8139.265753388037,4312.23061172115,6341.431598328823,2,17,CA,131,1,BA,1,1,30,0,1500.0,0,INTERNET,4.03639377447068,windows,1,1,0,0
0,0.9,0.5207181701575837,-1,31,50,0.0057293932249281,-1.0082232359577044,AC,597,2778.119599099028,6002.7218898542615,6303.077748491805,12,26,CA,80,1,BC,0,1,10,0,200.0,0,INTERNET,3.7319703156421618,linux,1,1,0,0
0,0.9,0.0526151465040271,-1,156,30,0.025659621303539,-1.5701643273245482,AD,1685,10282.430084742316,7499.069980705641,6785.3688568162925,28,16,CB,88,1,BA,0,1,1,0,200.0,0,INTERNET,6.324050439402358,linux,1,1,0,0
1,0.9,0.7631267336400389,-1,252,30,0.0100311842870125,-1.04985046636283,AB,2390,9785.44958865372,7110.5730367466285,5351.744993527422,2,8,CA,110,0,BD,0,1,30,0,200.0,1,INTERNET,37.80340151035041,linux,1,1,0,0
1,0.7000000000000001,0.1374433022152149,-1,98,20,0.0065277253874326,-0.6888364410526233,AB,1800,2553.086512765331,7166.891733948767,6656.8230774904005,2,6,CB,74,1,BA,0,1,25,0,200.0,0,INTERNET,4.404408758672589,windows,0,1,0,0
0,0.2,0.527750863793881,13,114,20,0.0031714486317217,-0.8483468522514769,AB,4389,12256.250056284667,5390.9504308211135,6330.661519362458,1839,18,CA,49,0,BB,1,1,15,0,200.0,0,INTERNET,2.838194456956286,windows,1,2,0,0
1,0.1,0.993218877693922,-1,67,20,0.0153310387723254,92.12013898112636,AA,1192,8330.72742782464,6708.346917548007,6709.436650637379,37,6,CA,79,1,BB,0,1,25,0,1500.0,0,INTERNET,12.92807152549465,windows,0,1,0,0
0,0.9,0.1027451585699652,-1,203,50,0.0051734928191784,-0.6619875264724204,AB,3453,9583.791188713963,7768.314395506042,6372.280751133748,0,3,CB,191,0,BB,1,1,30,0,1000.0,0,INTERNET,10.480853452907915,linux,1,1,0,0
0,0.2,0.7730854651787792,22,4,40,0.0069193596555432,-0.5446764953031848,AB,1998,11723.993606010376,7864.277143635152,6338.799156196561,28,8,CA,72,1,BC,1,1,1,0,200.0,0,INTERNET,28.19992278516053,x11,1,1,0,0
1,0.8,0.7943507115562781,-1,376,60,17.925950550863003,41.422109688896775,AA,815,9747.40739649634,6902.0196278389,6467.154126567012,46,3,CC,196,1,BA,1,0,28,0,1500.0,0,INTERNET,2.5501671446073715,linux,0,1,0,0
0,0.5,0.6748698374650179,-1,372,30,0.0044061446464032,30.300980254556983,AA,2069,12129.970774522912,7063.487188962284,6772.31948351953,1590,11,CA,268,1,BE,1,1,25,0,1500.0,0,INTERNET,6.336454889251335,other,1,1,0,0
0,0.3,0.5236546591292989,21,2,30,0.0352056883298541,-0.9557372072420892,AB,1781,6979.9940022111805,4335.68534636426,6624.957941677998,2,10,CA,35,0,BC,1,0,2,0,200.0,0,INTERNET,5.329386683741856,other,1,1,0,0
0,0.1,0.4286249425581369,-1,60,20,0.0172445938541969,-1.4153316046452775,AB,3418,11305.210395154863,5828.048443996257,6816.886300989952,378,6,CA,52,0,BB,0,1,1,0,200.0,0,INTERNET,3.462537412240833,other,1,1,0,0
1,0.6000000000000001,0.9907092527494328,-1,314,40,0.0232297510269019,-0.6881822011715677,AC,3578,887.4829897112511,6153.122612944144,6281.064711196186,0,9,CA,315,0,BA,0,1,-1,0,2000.0,0,INTERNET,3.717674697840193,windows,0,1,0,0
0,0.8,0.153880432777335,-1,103,40,0.0451218390683624,-1.1011844334405805,AB,1548,4999.555800752307,4526.861667090668,6426.790816709525,6,7,CA,163,0,BE,1,1,25,1,200.0,0,INTERNET,11.23426418538036,other,1,1,0,0
0,0.6000000000000001,0.4750999462380287,11,14,30,0.0069908306305029,-1.8631006767118188,AB,3483,14431.993621381194,6755.34447929092,5970.336830507939,11,13,CA,90,1,BC,0,1,1,0,200.0,0,INTERNET,15.215816122068803,linux,1,1,0,0
0,0.9,0.2724157905066648,-1,35,40,4.808094300417631e-05,-0.6071319632400124,AD,2243,6252.400299251526,5726.903918436935,6788.629415647545,10,7,CB,136,0,BE,1,0,15,0,200.0,0,INTERNET,2.5988052732896803,windows,1,1,0,0
0,0.6000000000000001,0.2948404635987846,-1,369,30,0.024231885459018,-1.232556198255754,AD,1204,11556.955513727777,7506.951275553085,6482.924037404599,705,5,CB,134,1,BE,1,1,30,0,200.0,0,INTERNET,6.987315503150867,linux,1,1,0,0
1,0.8,0.129198282178014,-1,182,60,0.0093734812836371,20.00350804177728,AA,4429,9356.4286151066,4478.205202358342,6753.598428440746,6,3,CC,135,1,BA,1,1,1,0,500.0,0,INTERNET,36.80955516069052,windows,0,1,0,0
1,0.5,0.9956902932288552,-1,40,60,0.0023426389025713,-1.0215470931641806,AD,629,8283.392059923224,5367.244205167052,6747.313240285132,0,5,CA,175,1,BC,0,1,1,0,500.0,0,INTERNET,4.089426099845662,other,1,1,0,0
0,0.9,0.8660885394584622,-1,33,30,0.0346622107876037,-0.9752302011240784,AD,1249,10746.590276044511,5163.3884706598055,6734.662449722037,18,8,CA,123,0,BA,1,1,30,0,1500.0,0,INTERNET,20.607228892568408,macintosh,0,1,0,0
0,0.7000000000000001,0.4500574565546045,-1,30,20,0.0395966150139274,-0.8629560729478463,AB,4254,2281.504404659496,5713.134096829956,6263.512121450705,11,16,CB,57,1,BB,0,1,2,0,200.0,0,INTERNET,4.377892414935488,other,1,1,0,0
